"X..Characteristic..","X..CCR.....N...15","X..CM.....N...11","X..CP.....N...7","X..p.value..","X..CCR.....N...14","X..CM.....N...12","X..CP.....N...6","X..p.value...1"
"AQ_ADIPOQ","0.01 (0.01, 0.02)","0.00 (0.00, 0.00)","0.02 (0.01, 0.05)","<0.001","0.01 (0.01, 0.01)","0.00 (0.00, 0.00)","0.02 (0.02, 0.03)","<0.001"
"AQ_ALOX5","706.33 (234.29, 1,287.40)","309.17 (239.20, 924.88)","2,117.58 (1,590.48, 3,242.96)","0.004","534.58 (314.07, 823.90)","292.94 (211.06, 549.66)","1,750.60 (1,587.17, 2,408.81)","0.003"
"AQ_ARG1","12.72 (4.76, 33.25)","47.19 (33.44, 87.38)","61.20 (23.98, 118.06)","0.010","13.01 (9.66, 23.70)","57.38 (16.50, 186.83)","35.37 (29.07, 93.27)","0.056"
"AQ_BMP2","0.31 (0.13, 1.07)","0.45 (0.24, 0.92)","1.12 (0.84, 1.46)","0.057","0.28 (0.13, 0.47)","0.42 (0.24, 1.48)","0.53 (0.00, 0.64)","0.41"
"AQ_CCL2","0.34 (0.08, 1.35)","2.16 (0.50, 3.51)","2.16 (0.34, 5.84)","0.048","0.29 (0.06, 0.68)","0.53 (0.20, 0.83)","1.16 (0.37, 3.39)","0.11"
"AQ_CCL5","2,094.21 (1,380.74, 4,246.52)","6,165.34 (3,869.94, 12,345.05)","11,305.14 (5,804.53, 25,549.13)","0.003","2,082.59 (1,185.41, 8,351.65)","3,576.79 (1,661.81, 9,110.46)","10,615.32 (7,072.09, 13,611.90)","0.026"
"AQ_CCR5","63.52 (18.97, 103.48)","103.27 (57.94, 180.34)","286.23 (73.13, 477.81)","0.056","50.13 (15.62, 109.54)","87.30 (36.95, 152.76)","82.55 (74.04, 257.52)","0.31"
"AQ_CD274","10.57 (4.92, 24.60)","30.09 (15.47, 41.74)","48.01 (19.38, 52.69)","0.020","9.27 (4.77, 19.62)","17.87 (11.20, 34.82)","35.05 (24.86, 44.58)","0.016"
"AQ_CD36","173.99 (81.02, 443.33)","546.63 (244.82, 962.25)","721.62 (358.79, 1,061.06)","0.014","181.63 (61.79, 379.86)","386.93 (132.53, 619.19)","382.89 (249.15, 396.59)","0.037"
"AQ_CHKA","4.93 (1.53, 27.38)","11.44 (6.56, 25.82)","12.66 (0.00, 23.39)","0.30","1.33 (0.00, 2.88)","10.75 (3.44, 16.30)","12.42 (8.64, 14.07)","<0.001"
"AQ_CPT1A","61.66 (21.45, 315.51)","122.82 (62.96, 220.73)","180.34 (102.85, 495.27)","0.11","34.06 (17.99, 68.74)","58.41 (32.76, 125.16)","194.26 (163.74, 220.59)","0.013"
"AQ_CSF2","0.11 (0.01, 0.24)","0.39 (0.00, 1.26)","0.99 (0.49, 1.06)","0.012","0.02 (0.01, 0.28)","0.17 (0.00, 1.17)","0.20 (0.15, 0.41)","0.51"
"AQ_CXCR1","130.98 (67.85, 269.49)","189.86 (112.54, 1,085.59)","614.43 (196.35, 878.14)","0.015","68.61 (43.40, 87.44)","124.77 (52.67, 208.40)","291.57 (0.00, 552.97)","0.53"
"AQ_FASN","30.90 (7.74, 61.11)","61.70 (24.24, 128.47)","107.13 (34.78, 146.58)","0.14","18.61 (4.91, 63.05)","51.81 (14.08, 59.19)","71.85 (32.78, 73.63)","0.31"
"AQ_FOXO3","1,320.87 (926.90, 3,899.51)","3,087.33 (1,590.48, 3,967.59)","2,307.55 (1,242.68, 3,929.37)","0.38","1,029.11 (642.42, 1,503.64)","1,762.94 (1,263.74, 3,707.68)","3,678.98 (2,221.29, 4,824.00)","0.019"
"AQ_FOXP3","8.63 (3.07, 28.67)","22.23 (8.08, 34.05)","20.54 (10.99, 84.41)","0.12","5.58 (1.67, 22.71)","12.73 (2.63, 20.83)","19.72 (13.94, 28.51)","0.43"
